age, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Divorced
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Married-spouse-absent
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Widowed
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Separated
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Never-married
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Divorced
[22 - 59], [9 - 14], [0 - 4865], [0 - 2258], [15 - 60], gov, United-States, Male, White, Not-in-family, Other, <=50K, Divorced
