age, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[39 - 42], 13, [0 - 2174], 0, 40, State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[39 - 42], 13, [0 - 2174], 0, 40, State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[39 - 42], 13, [0 - 2174], 0, 40, State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Divorced
[47 - 51], 13, 0, 0, [13 - 30], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
[47 - 51], 13, 0, 0, [13 - 30], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
[47 - 51], 13, 0, 0, [13 - 30], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
[38 - 39], 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Divorced
[38 - 39], 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Never-married
[38 - 39], 9, 0, 0, 40, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Never-married
[43 - 60], [6 - 7], 0, 0, 40, Private, United-States, Male, Black, Husband, Handlers-cleaners, <=50K, Married-civ-spouse
[43 - 60], [6 - 7], 0, 0, 40, Private, United-States, Male, Black, Husband, Handlers-cleaners, <=50K, Married-civ-spouse
[43 - 60], [6 - 7], 0, 0, 40, Private, United-States, Male, Black, Husband, Handlers-cleaners, <=50K, Married-civ-spouse
[28 - 59], [9 - 13], 0, 0, [21 - 40], Private, Non-US, Female, Black, Wife, Technical, <=50K, Married-civ-spouse
[28 - 59], [9 - 13], 0, 0, [21 - 40], Private, Non-US, Female, Black, Wife, Technical, <=50K, Married-civ-spouse
[28 - 59], [9 - 13], 0, 0, [21 - 40], Private, Non-US, Female, Black, Wife, Technical, <=50K, Married-civ-spouse
[32 - 37], [13 - 14], 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, <=50K, Married-civ-spouse
[32 - 37], [13 - 14], 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, <=50K, Married-civ-spouse
[32 - 37], [13 - 14], 0, 0, 40, Private, United-States, Female, White, Wife, Exec-managerial, <=50K, Married-civ-spouse
[45 - 51], [5 - 7], 0, 0, [16 - 40], Private, Non-US, Female, Black, Not-in-family, Other-service, <=50K, Married-spouse-absent
[45 - 51], [5 - 7], 0, 0, [16 - 40], Private, Non-US, Female, Black, Not-in-family, Other-service, <=50K, Divorced
[45 - 51], [5 - 7], 0, 0, [16 - 40], Private, Non-US, Female, Black, Not-in-family, Other-service, <=50K, Separated
[50 - 52], 9, 0, 0, 45, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
