age, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Divorced
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Married-spouse-absent
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Widowed
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Separated
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Divorced
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Divorced
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Divorced
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Divorced
[22 - 55], [9 - 14], [0 - 2174], 0, [15 - 47], gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
