age, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Divorced
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Married-spouse-absent
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Widowed
[22 - 51], [12 - 13], [0 - 2174], 0, [37 - 47], State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
[36 - 51], [11 - 13], [0 - 2407], 0, [13 - 50], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
[36 - 51], [11 - 13], [0 - 2407], 0, [13 - 50], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
[36 - 51], [11 - 13], [0 - 2407], 0, [13 - 50], Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
