age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
,,,2,Married,,,,Female,0,0,,Non-US,<=50K
,,,2,Married,,,,Female,0,0,,Non-US,<=50K
,,,3,Married,,,,Female,0,2057,,Non-US,<=50K
,,,2,Married,,,,Female,0,0,,Non-US,<=50K
,,,2,Married,,,,Female,0,0,,Non-US,<=50K
,,,2,Married,,,,Female,0,0,,Non-US,<=50K
,,,2,Married,,,,Female,0,0,,Non-US,<=50K
,,,2,Married,,,,Female,0,0,,Non-US,<=50K
,,,3,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,3,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,3,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,1,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,3,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,1,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,1,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,1,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,2,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,3,Not-married,,,,Female,0,0,,Non-US,<=50K
,,,1,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,3,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,3,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,2,Divorced,,,,Female,0,0,40,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,1,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,3,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,4,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,3,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,2,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,3,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,1,Married-spouse-absent,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,3,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,3,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,2,Separated,,,,Female,0,0,40,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,4508,0,<40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
,,,1,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
,,,3,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
,,,1,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
,,,2,Married-civ-spouse,,,,Female,0,0,<40,Non-US,<=50K
