age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19.0,Private,,3,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
19.0,Private,,2,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
19.0,Private,,2,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
19.0,Private,,3,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
19.0,Private,,3,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
19.0,Private,,3,Never-married,Adm-clerical,Own-child,White,Female,594,0,20.0,United-States,<=50K
19.0,Private,,2,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
19.0,Private,,3,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
19.0,Private,,3,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,United-States,<=50K
43.0,Private,,3,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
43.0,Private,,2,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
43.0,Private,,3,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
43.0,Private,,3,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
43.0,Private,,3,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
43.0,Private,,2,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
43.0,Private,,2,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
36.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
22.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
23.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
23.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
23.0,Private,,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
23.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
23.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
23.0,Private,,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
